GenAge ID,name,symbol,organism,functions,Entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence,observations
20,Acid SphingoMyelinase,asm-3,Caenorhabditis elegans,acidic sphingomyelinase,176879,50,Increase,Anti-Longevity,anti;;;19;11410594
21,Autophagy-specific gene 7,Atg7,Drosophila melanogaster,Involved in autophagy,37141,,Decrease,Pro-Longevity,anti;50.0;;20;17608836|anti;50.0;;20;17608836
22,Autophagy-related 8a,Atg8a,Drosophila melanogaster,Involved in autophagy,32001,,Increase and Decrease,Pro-Longevity,pro;;30.0;21;18056421|pro;;30.0;21;18056421|pro;;30.0;21;18056421
23,AuTophaGy (yeast Atg homolog),atg-7,Caenorhabditis elegans,Autophagic vesicle expansion,178005,,Increase,Unclear,pro;56.0;;22;18059160|pro;56.0;;22;18059160
24,Ataxia telangiectasia mutated homolog (human),Atm,Mus musculus,DNA repair and cell cycle control,11920,,Decrease,Pro-Longevity,pro;;;23;17912023|pro;;;23;17912023|pro;;;23;17912023|pro;;;23;17912023
25,ATP synthase F1 subunit gamma,atp-2,Caenorhabditis elegans,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,175716,43,Increase,Anti-Longevity,pro;;;24;12540856|pro;;;24;12540856|pro;;;24;12540856
26,ATP synthase subunit,atp-3,Caenorhabditis elegans,"Mitochondrial F1F0-ATP synthase, subunit OSCP/ATP5",172195,21,Increase,Anti-Longevity,anti;;;25;12471266|anti;;;25;12471266|anti;;;25;12471266
27,ATP synthase subunit,atp-4,Caenorhabditis elegans,"Mitochondrial F1F0-ATP synthase, subunit Cf6 (coupling factor 6)",179025,,Increase,Anti-Longevity,anti;;;26;16103914
28,ATP synthase subunit,atp-5,Caenorhabditis elegans,"Mitochondrial F1F0-ATP synthase, subunit d/ATP7",179541,,Increase,Anti-Longevity,anti;;;27;16103914
29,ATP synthase F1 subunit gamma,ATP2,Saccharomyces cerevisiae,ATP synthase subunit,853585,50,Decrease,Pro-Longevity,anti;;;28;16103914|anti;;;28;16103914
30,Ataxia telangiectasia and Rad3 related,Atr,Mus musculus,DNA repair and cell cycle control,245000,,Decrease,Pro-Longevity,pro;;;29;12242224|pro;;;29;12242224
31,ThioRedoXin,trx-1,Caenorhabditis elegans,Mitochondrial thioredoxin,181863,,Decrease,Pro-Longevity,pro;;;30;18371340
32,LEThal,let-363,Caenorhabditis elegans,Regulation of cell growth and differentiation in response to nutrients,172167,150,Increase,Anti-Longevity,pro;;;31;16324156
33,Protein MRPL-47,mrpl-47,Caenorhabditis elegans,Mitochondrial ribosomal protein L4/L29,172164,20,Increase,Anti-Longevity,anti;150.0;;32;14668850|anti;150.0;;32;14668850
34,Protein MBOA-1,mboa-1,Caenorhabditis elegans,Sterol O-acyltransferase,181681,16,Decrease,Pro-Longevity,anti;20.0;;33;12447374
35,Protein B0491.5,B0491.5,Caenorhabditis elegans,,174734,60,Increase,Anti-Longevity,pro;16.0;;34;18006689|pro;16.0;;34;18006689
36,Protein B0511.6,B0511.6,Caenorhabditis elegans,RNA helicase,172954,50,Increase,Anti-Longevity,anti;16.0;;35;17521386
37,Protein B0546.3,B0546.3,Caenorhabditis elegans,Zinc-binding protein,182030,27,Increase,Anti-Longevity,anti;50.0;;36;17411345
38,Barrier to Autointegration Factor,baf-1,Caenorhabditis elegans,Chromosome segregation,176330,28,Decrease,Pro-Longevity,anti;27.0;;37;17608836
39,beta-catenin,bar-1,Caenorhabditis elegans,Multifunctional protein involved in development and transcriptional regulation,180982,45,Decrease,Pro-Longevity,pro;28.0;;38;18006689
40,Bcl2-associated X protein,Bax,Mus musculus,Apoptosis,12028,,Increase,Unannotated,pro;45.0;35.0;39;15905404
41,blue cheese,bchs,Drosophila melanogaster,Scaffolding protein,33819,45,Decrease,Pro-Longevity,;;;40;17360389|;;;40;17360389|;;;40;17360389
42,Bypass of CYclase mutations,BCY1,Saccharomyces cerevisiae,A component of a signalling pathway that controls a variety of cellular processes,854778,,Decrease,Unannotated,pro;45.0;;41;12598614|pro;45.0;;41;12598614
43,Protein AGMO-1,agmo-1,Caenorhabditis elegans,Sterol C5 desaturase,176695,30,Decrease,Pro-Longevity,fitness;;;42;8195187
44,BEClin (human autophagy) homolog,bec-1,Caenorhabditis elegans,Involved in autophagy,177345,40,Decrease,Pro-Longevity,pro;30.0;;43;18006689|pro;30.0;;43;18006689|pro;30.0;;43;18006689|pro;30.0;;43;18006689
45,Blimp1 (B Lymphocyte-induced Maturation Protein-1) homolog,blmp-1,Caenorhabditis elegans,Transcription factor,172917,20,Decrease,Pro-Longevity,pro;;;44;12958363|pro;;;44;12958363
46,Bmcp,Bmcp,Drosophila melanogaster,Mitochondrial uncoupler,39322,,Increase,Anti-Longevity,pro;;;45;18006689
47,BMP receptor Associated protein family,bra-1,Caenorhabditis elegans,May negatively regulate the DAF-1/DAF-7/DAF-14 TGF-beta signalling pathway,181481,25,Decrease,Pro-Longevity,anti;;;46;16387864
48,Breast cancer 1,Brca1,Mus musculus,Maintenance of genomic stability,12189,,Decrease,Pro-Longevity,pro;25.0;;47;17900898|pro;25.0;;47;17900898
49,Bre5p,BRE5,Saccharomyces cerevisiae,,855787,,Increase and Decrease,Anti-Longevity,pro;;;48;12533509|pro;;;48;12533509
50,"budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)",Bub1b,Mus musculus,Kinase involved in the spindle checkpoint function,12236,,Increase and Decrease,Pro-Longevity,anti;30.0;;49;16293764|anti;30.0;;49;16293764
51,budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae),Bub3,Mus musculus,Kinase involved in the spindle checkpoint function,12237,12,Decrease,Pro-Longevity,pro;;;50;15208629
52,Zinc finger Transcription Factor family,ztf-12,Caenorhabditis elegans,Zinc finger transcription factor,179257,,Decrease,Pro-Longevity,pro;12.0;;51;16476774
53,Protein C01F1.1,C01F1.1,Caenorhabditis elegans,Transcription initiation factor,173764,28,Decrease,Pro-Longevity,pro;;;52;16380712
54,Protein SCO-1,sco-1,Caenorhabditis elegans,ATP synthesis,173763,23,Increase,Anti-Longevity,pro;28.0;;53;18006689
55,Protein CPNA-3,cpna-3,Caenorhabditis elegans,,3565393,,Increase,Anti-Longevity,anti;23.0;;54;17521386
56,Protein C06A5.1,C06A5.1,Caenorhabditis elegans,,182280,39,Decrease,Pro-Longevity,anti;;;55;16103914
57,Protein C07A9.2,C07A9.2,Caenorhabditis elegans,Nuclear transcription regulator,176368,26,Decrease,Pro-Longevity,pro;39.0;;56;18006689
58,UBiquitin C-terminal Hydrolase,ubh-4,Caenorhabditis elegans,Ubiquitin C-terminal hydrolase,174289,,Increase,Anti-Longevity,pro;26.0;;57;18006689
59,transposase,C09B7.2,Caenorhabditis elegans,,182438,,Increase,Anti-Longevity,anti;;;58;15998808
60,Protein C11H1.3,C11H1.3,Caenorhabditis elegans,E3 ubiquitin ligase,181537,10,Decrease,Pro-Longevity,anti;;;59;15998808
61,Protein C14A4.9,C14A4.9,Caenorhabditis elegans,,174637,14,Decrease,Pro-Longevity,pro;10.0;;60;18006689
62,Protein C18E9.10,C18E9.10,Caenorhabditis elegans,Could be involved in endoplasmic reticulum stress,174427,,Increase,Anti-Longevity,pro;14.0;;61;18006689
63,Protein C18E9.4,C18E9.4,Caenorhabditis elegans,"NADH:ubiquinone oxidoreductase, NDUFB3/B12 subunit",174428,60,Increase,Anti-Longevity,anti;;;62;15998808|anti;;;62;15998808
64,Protein MDT-26,mdt-26,Caenorhabditis elegans,,173960,,Decrease,Pro-Longevity,anti;;;63;15998808
65,Protein C26B2.2,C26B2.2,Caenorhabditis elegans,Guanine nucleotide binding protein MIP1,182926,,Increase,Anti-Longevity,pro;;;64;18006689
66,Protein C26B9.3,C26B9.3,Caenorhabditis elegans,Lipid transfer protein,180804,12,Decrease,Pro-Longevity,anti;;;65;15253933
67,Protein C27B7.7,C27B7.7,Caenorhabditis elegans,Mitochondrial phosphate carrier protein,177708,,Increase,Anti-Longevity,pro;12.0;;66;18006689
68,Protein VPS-22,vps-22,Caenorhabditis elegans,Vps22p subunit of the ESCRT-II complex,175672,43,Decrease,Pro-Longevity,anti;;;67;15998808
69,Protein C29F9.1,C29F9.1,Caenorhabditis elegans,,175180,,Decrease,Pro-Longevity,pro;43.0;;68;18006689
70,Protein C29F9.2,C29F9.2,Caenorhabditis elegans,,175179,12,Decrease,Pro-Longevity,pro;;;69;18006689
71,TBC (Tre-2/Bub2/Cdc16) domain family,tbc-7,Caenorhabditis elegans,,180784,,Decrease,Pro-Longevity,pro;12.0;;70;18006689
72,Protein C32H11.1,CELE_C32H11.1,Caenorhabditis elegans,"Deoxyribonuclease II, involved in apoptotic DNA degradation",183126,,Increase,Anti-Longevity,pro;;;71;18006689
73,Protein C32H11.5,CELE_C32H11.5,Caenorhabditis elegans,,183129,,Increase,Anti-Longevity,anti;;;72;12845331
74,Protein C33A12.1,CELE_C33A12.1,Caenorhabditis elegans,NADH ubiquinone oxidoreductase,177786,50,Increase,Anti-Longevity,anti;;;73;15998808|anti;;;73;15998808
75,Protein C33F10.12,C33F10.12,Caenorhabditis elegans,Receptor mediating netrin-dependent axon guidance,183168,,Increase,Anti-Longevity,anti;40.0;;74;17608836
76,Protein C33H5.18,C33H5.18,Caenorhabditis elegans,CDP-diglyceride synthetase,3565046,44,Decrease,Pro-Longevity,anti;;;75;15998808
77,Protein C35A11.3,C35A11.3,Caenorhabditis elegans,Similar to mucin genes,183228,,Increase,Anti-Longevity,pro;44.0;;76;18006689
78,Protein C36H8.1,C36H8.1,Caenorhabditis elegans,,178230,,Increase,Anti-Longevity,anti;;;77;15998808
79,SCP-Like extracellular protein,scl-4,Caenorhabditis elegans,Defense-related protein containing SCP domain,183342,,Increase,Anti-Longevity,anti;;;78;15998808
80,SCP-Like extracellular protein,scl-8,Caenorhabditis elegans,Defense-related protein,183345,18,Increase,Anti-Longevity,anti;;;79;15998808
81,Protein TRIM-9,trim-9,Caenorhabditis elegans,Predicted Zn-finger protein,178619,,Increase,Anti-Longevity,anti;18.0;;80;17608836
82,TransThyretin-Related family domain,ttr-5,Caenorhabditis elegans,Transthyretin-like family,176312,14,Increase,Anti-Longevity,anti;;;81;15998808
83,Protein C42C1.3,C42C1.3,Caenorhabditis elegans,,183399,60,Increase,Anti-Longevity,anti;14.0;;82;17608836
84,Protein C46G7.2,C46G7.2,Caenorhabditis elegans,,177367,44,Increase,Anti-Longevity,anti;60.0;;83;17608836
85,Protein C47E12.2,C47E12.2,Caenorhabditis elegans,Mitochodrial ADP/ATP carrier protein,177858,36,Increase,Anti-Longevity,anti;44.0;;84;17608836
86,Protein C48E7.2,C48E7.2,Caenorhabditis elegans,RNA polymerase III subunit,172321,26,Increase,Anti-Longevity,anti;36.0;;85;17608836
87,Protein C56G2.1,C56G2.1,Caenorhabditis elegans,RNA metabolism,175898,20,Increase,Anti-Longevity,anti;26.0;;86;17521386
88,CALUmenin (calcium-binding protein) homolog,calu-1,Caenorhabditis elegans,,180769,,Decrease,Pro-Longevity,anti;20.0;;87;17411345
89,carnation,car,Drosophila melanogaster,"Vps 33, sec1 protein",32947,,Increase,Pro-Longevity,pro;;;88;18006689
90,caspase 2,Casp2,Mus musculus,Apoptosis,12366,,Decrease,Pro-Longevity,pro;;30.0;89;17435236
91,Catalase,Cat,Drosophila melanogaster,Protects cells from hydrogen peroxide,40048,33,Increase,Pro-Longevity,pro;;10.0;90;17188333
92,Catalase,Cat,Mus musculus,Protects cells from hydrogen peroxide,12359,21,Increase,Pro-Longevity,pro;33.0;;91;8108730|pro;33.0;;91;8108730
93,"caveolin, caveolae protein 1",Cav1,Mus musculus,Component of caveolae membranes in nonmuscle cells,12389,50,Decrease,Pro-Longevity,pro;20.0;;92;15879174
94,Cytochrome C Heme-Lyase,cchl-1,Caenorhabditis elegans,Holocytochrome c synthase/heme-lyase,174713,50,Increase,Anti-Longevity,pro;50.0;;93;14690422|pro;50.0;;93;14690422
95,Cytochrome C Oxidase,cco-1,Caenorhabditis elegans,Electron transport,172832,80,Increase,Anti-Longevity,anti;50.0;;94;12447374|anti;50.0;;94;12447374|anti;50.0;;94;12447374|anti;50.0;;94;12447374|anti;50.0;;94;12447374
96,Cytochrome C Oxidase,cco-2,Caenorhabditis elegans,"Cytochrome c oxidase, subunit Va/COX6",176707,60,Increase,Anti-Longevity,anti;;;95;12447374|anti;;;95;12447374
97,CCR (yeast CCR4/NOT complex component) homolog,ccr-4,Caenorhabditis elegans,Alcohol dehydrogenase,178184,33,Decrease,Pro-Longevity,anti;57.0;;96;16103914
98,Ccs1p,CCS1,Saccharomyces cerevisiae,,855054,50,Decrease,Unannotated,pro;33.0;;97;18006689
99,Chaperonin Containing TCP-1,cct-4,Caenorhabditis elegans,Chaperonin complex,174330,28,Increase,Anti-Longevity,fitness;50.0;;98;17460215
100,Chaperonin Containing TCP-1,cct-6,Caenorhabditis elegans,Chaperonin complex,175819,20,Increase,Anti-Longevity,anti;28.0;;99;17411345
101,CTP:phosphocholine cytidylyltransferase 1,Cct1,Drosophila melanogaster,Catalyzes the conversion of phosphocholine to CDP-choline,117353,8,Increase,Pro-Longevity,anti;20.0;;100;17411345
102,related to yeast Vacuolar Protein Sorting factor,vps-37,Caenorhabditis elegans,ESCRT-I subunit,178944,44,Decrease,Pro-Longevity,pro;8.0;;101;12620118
103,Cell Division Cycle related,cdc-25.1,Caenorhabditis elegans,Cell cycle regulation,172353,,Increase,Anti-Longevity,pro;44.0;;102;18006689
104,Cell Division Cycle related,cdc-25.3,Caenorhabditis elegans,Cell cycle regulation,176260,40,Increase,Anti-Longevity,anti;;;103;16741121
105,Cdc25p,CDC25,Saccharomyces cerevisiae,Cell cycle regulation,851019,50,Increase,Anti-Longevity,anti;40.0;;104;16741121
106,Cell Division Cycle,CDC6,Saccharomyces cerevisiae,Required for pre-replicative complex formation,853244,20,Increase,Anti-Longevity,anti;50.0;;105;11000115
107,Cyclin-Dependent Kinase family,cdk-7,Caenorhabditis elegans,Cell cycle,171784,,Decrease,Pro-Longevity,anti;20.0;;106;9428525
108,Cyclin-dependent kinase 5,Cdk5,Drosophila melanogaster,Cell cycle,36727,33,Decrease,Pro-Longevity,pro;;;107;18006689
109,Cyclin-dependent kinase inhibitor 1A,Cdkn1a,Mus musculus,Cell cycle,12575,,Increase,Anti-Longevity,pro;33.0;;108;17368005
110,"CCAAT/enhancer binding protein (C/EBP), alpha",Cebpa,Mus musculus,Transcription factor involved in fat metabolism,12606,,Increase,Unannotated,anti;;;109;17143283
111,"CCAAT/enhancer binding protein (C/EBP), beta",Cebpb,Mus musculus,Transcription factor involved in fat metabolism,12608,,Increase,Unannotated,;;;110;15289464
112,CEll Death abnormality,ced-3,Caenorhabditis elegans,Apoptosis,178272,19,Increase,Anti-Longevity,;;;111;15289464
113,Protein CEH-18,ceh-18,Caenorhabditis elegans,POU-class homeodomain transcription factor,180671,,Increase,Anti-Longevity,anti;19.0;;112;17411345
114,INSulin related,T15B12.1,Caenorhabditis elegans,New insulin/IGF-like peptide,188527,40,Increase,Anti-Longevity,anti;;;113;15998808
115,mRNA Capping Enzyme Like,cel-1,Caenorhabditis elegans,Possibly a mRNA capping enzyme,172814,59,Decrease,Pro-Longevity,anti;40.0;;114;10873623
116,C. Elegans P-53-like protein,cep-1,Caenorhabditis elegans,"Cell  cycle control, apoptosis",172616,33,Increase,Anti-Longevity,pro;59.0;;115;18006689|pro;59.0;;115;18006689|pro;59.0;;115;18006689
117,ceramide transfer protein,cert,Drosophila melanogaster,Ceramide transfer protein,38928,,Decrease,Pro-Longevity,anti;18.0;;116;17895432
118,abnormal CHEmotaxis,che-11,Caenorhabditis elegans,,179666,40,Increase,Anti-Longevity,pro;;;117;17592126
119,abnormal CHEmotaxis,che-13,Caenorhabditis elegans,,186607,40,Increase,Anti-Longevity,anti;40.0;;118;10617200
120,abnormal CHEmotaxis,che-2,Caenorhabditis elegans,Chemotaxis and dauer formation,180401,50,Increase,Anti-Longevity,anti;40.0;;119;10617200
121,abnormal CHEmotaxis,che-3,Caenorhabditis elegans,Required for proper structure of sensory cilia,172593,100,Increase,Anti-Longevity,anti;50.0;;120;10617200
122,CHK2 checkpoint homolog (S. pombe),Chek2,Mus musculus,Cell cycle checkpoint regulator,50883,,Decrease,Pro-Longevity,anti;100.0;;121;10617200
123,cheerio,cher,Drosophila melanogaster,Cytokinesis and ring canal formation,42066,9,Increase,Pro-Longevity,pro;;;122;16675955
124,Insulin receptor substrate-1,chico,Drosophila melanogaster,Insulin receptor substrate,64880,48,Increase,Anti-Longevity,pro;9.0;;123;12620118
125,CHeckpoint Kinase,chk-1,Caenorhabditis elegans,chk-1 encodes a CHK1-like serine threonin protein kinase that affects fertility,3565921,25,Increase,Anti-Longevity,anti;48.0;;124;11292874
126,Chl1p,CHL1,Saccharomyces cerevisiae,Required to establish sister-chromatid pairing,856099,50,Decrease,Unannotated,anti;25.0;;125;16741121|anti;25.0;;125;16741121
127,CyclIn T,cit-1.2,Caenorhabditis elegans,Regulates heat-shock protein expression,176126,,Decrease,Pro-Longevity,fitness;;;126;16182251
128,"casein kinase 1, epsilon",Csnk1e,Mesocricetus auratus,"Can phosphorylate a number of proteins, including circadian rhythm proteins",101830758,,Increase,Unannotated,pro;;;127;18006689
129,Caenorhabditis KU,cku-70,Caenorhabditis elegans,DNA-binding subunit of a DNA-dependent protein kinase,176546,,Increase,Anti-Longevity,;;;128;12054192
130,Coenzyme Q7 homolog,clk-1,Caenorhabditis elegans,"Ubiquinone (coenzyme Q, CoQ) biosynthesis",175729,,Increase and Decrease,Anti-Longevity,anti;;;129;16099946|anti;;;129;16099946|anti;;;129;16099946|anti;;;129;16099946
131,CLocK (biological timing) abnormality,clk-2,Caenorhabditis elegans,Could be involved in regulating telomere length and DNA damage response,176065,25,Increase,Unannotated,;;;130;8638122
132,Cln3p,CLN3,Saccharomyces cerevisiae,Involved in cell cycle control,851191,,Decrease,Anti-Longevity,;25.0;;131;8638122
133,carmine,cm,Drosophila melanogaster,u-subunit of AP-3 complex,31647,,Decrease,Pro-Longevity,anti;;;132;17710147
134,CalciNeurin B,cnb-1,Caenorhabditis elegans,Regulatory subunit of the protein phosphatase 2B that binds TAX-6 (a calcineurin A ortholog) in a calcium-dependent manner,179572,30,Increase,Anti-Longevity,pro;;40.0;133;17435236
135,COLlagen,col-93,Caenorhabditis elegans,Encodes collagen,259335,,Increase,Anti-Longevity,anti;30.0;;134;17673661
136,demethyl-Q 7,Coq7,Mus musculus,"Ubiquinone (coenzyme Q, CoQ) biosynthesis",12850,30,Increase,Anti-Longevity,anti;;;135;15998808
137,Cytochrome c oxidase I,cox1,Podospora anserina,Catalyses the reduction of oxygen to water,802462,,Increase,Unannotated,anti;30.0;;136;16195414
138,Cell-death-Related Nuclease,crn-5,Caenorhabditis elegans,Apoptosis,174634,41,Increase,Anti-Longevity,;;;137;10330149
139,Csr2p,CSR2,Saccharomyces cerevisiae,,856142,,Increase,Anti-Longevity,anti;41.0;;138;17411345
140,Caenorhabditis STE20-like kinase,cst-1,Caenorhabditis elegans,,180708,,Increase and Decrease,Pro-Longevity,anti;;;139;16336970|anti;;;139;16336970
141,Cytosolic catalase T,CTT1,Saccharomyces cerevisiae,Protection from oxidative damage by hydrogen peroxide,852979,,Increase,Unannotated,pro;;;140;16751106
142,CU (copper) ATPase,cua-1,Caenorhabditis elegans,Cation transport ATPase,176770,12,Decrease,Pro-Longevity,;;;141;12586694
143,CULlin,cul-1,Caenorhabditis elegans,Scaffolding protein,176466,,Decrease,Pro-Longevity,pro;12.0;;142;18006689
144,Coexpressed With Polycystins,cwp-4,Caenorhabditis elegans,Similar to mucins,178894,,Increase,Anti-Longevity,pro;;;143;17392428
145,Cytochrome c1,cyc-1,Caenorhabditis elegans,Component of complex III,172582,87,Increase,Anti-Longevity,anti;;;144;15998808|anti;;;144;15998808
146,cytochrome c oxidase subunit 1,cox1,Podospora anserina,Member of complex III,802462,,Increase,Unannotated,anti;87.0;;145;16103914
147,CYtochrome P450 family,cyp-33E2,Caenorhabditis elegans,CYtochrome P450 family,185653,18,Increase,Anti-Longevity,;;;146;17081785
148,CYtochrome P450 family,cyp-42A1,Caenorhabditis elegans,CYtochrome P450 family,180236,39,Decrease,Pro-Longevity,anti;18.0;;147;17608836
149,Adenylate cyclase,CYR1,Saccharomyces cerevisiae,,853452,90,Increase,Anti-Longevity,pro;39.0;;148;18006689|pro;39.0;;148;18006689|pro;39.0;;148;18006689
150,Protein D1054.14,CELE_D1054.14,Caenorhabditis elegans,mRNA splicing factor,179499,36,Increase,Anti-Longevity,anti;75.0;;149;12124627
151,Dehydrogenase,CELE_D1054.8,Caenorhabditis elegans,Reductases with broad range of substrate specificities,183917,,Increase,Anti-Longevity,anti;36.0;;150;17411345
152,D1069.3b,D1069.3,Caenorhabditis elegans,,173425,,Decrease,Pro-Longevity,anti;;;151;15998808
153,Protein D2030.4,D2030.4,Caenorhabditis elegans,"NADH:ubiquinone oxidoreductase, NDUFB7/B18 subunit",172513,40,Increase,Anti-Longevity,pro;;;152;18006689|pro;;;152;18006689
154,WD Repeat protein,wdr-23,Caenorhabditis elegans,,172518,24,Increase,Anti-Longevity,anti;40.0;;153;12447374
155,Protein D2085.3,D2085.3,Caenorhabditis elegans,Translation,174387,,Increase,Anti-Longevity,anti;24.0;;154;17411345
156,abnormal DAuer Formation,daf-1,Caenorhabditis elegans,Encodes a TGF-beta type I receptor homolog,176829,46,Increase,Anti-Longevity,anti;;;155;17521386
157,Abnormal DAuer Formation,daf-12,Caenorhabditis elegans,A member of the steroid hormone receptor superfamily,181263,,Increase,Anti-Longevity,anti;46.0;50.0;156;17900898|anti;46.0;50.0;156;17900898
158,abnormal DAuer Formation,daf-14,Caenorhabditis elegans,Possibly a transducer of the DAF-7/TGF-beta-mediated signal that promotes reproductive growth and ne,177908,44,Increase,Anti-Longevity,anti;;;157;7789761
159,Abnormal DAuer Formation,daf-15,Caenorhabditis elegans,Guanine nucleotide binding protein,177770,,Increase,Anti-Longevity,anti;44.0;50.0;158;17900898
160,"Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16)",daf-16,Caenorhabditis elegans,Forkhead family transcription factor,172981,45,Decrease,Pro-Longevity,anti;;;159;15253933|anti;;;159;15253933|anti;;;159;15253933
161,Abnormal DAuer Formation,daf-18,Caenorhabditis elegans,Lipid phosphatase,176869,,Increase and Decrease,Pro-Longevity,pro;;;1014;8247153|pro;;;1014;8247153|pro;;;1014;8247153|pro;;;1014;8247153
162,Abnormal DAuer Formation,daf-19,Caenorhabditis elegans,RFX-type transcription factor,174577,50,Increase,Anti-Longevity,pro;;;160;16153634
163,"abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)",daf-2,Caenorhabditis elegans,"Insulin receptor homolog, regulator of dauer formation",175410,200,Increase,Anti-Longevity,anti;50.0;;161;10617200|anti;50.0;;161;10617200|anti;50.0;;161;10617200|anti;50.0;;161;10617200|anti;50.0;;161;10617200|anti;50.0;;161;10617200|anti;50.0;;161;10617200
164,Abnormal DAuer Formation,daf-28,Caenorhabditis elegans,,191014,15,Increase,Pro-Longevity,anti;100.0;;162;8247153
165,abnormal DAuer Formation,daf-3,Caenorhabditis elegans,Transcriptional regulator,180431,16,Decrease,Anti-Longevity,pro;15.0;;163;8807293
166,abnormal DAuer Formation,daf-4,Caenorhabditis elegans,Encodes a transmembrane serine/threonine kinase,175781,120,Increase,Anti-Longevity,anti;16.0;30.0;164;17900898
167,abnormal DAuer Formation,daf-5,Caenorhabditis elegans,Encodes a proline-rich protein that promotes dauer formation,175054,20,Decrease,Pro-Longevity,anti;120.0;185.0;165;17900898
168,abnormal DAuer Formation,daf-6,Caenorhabditis elegans,,181584,50,Increase,Anti-Longevity,pro;20.0;20.0;166;17900898
169,abnormal DAuer Formation,daf-7,Caenorhabditis elegans,Encodes a member of the TGF-beta superfamily that affects dauer larvae,175237,50,Increase,Anti-Longevity,anti;50.0;;167;10617200
170,abnormal DAuer Formation,daf-8,Caenorhabditis elegans,Encodes a Smad protein that represses dauer development,187612,31,Increase,Anti-Longevity,anti;50.0;50.0;168;17900898
171,abnormal DAuer Formation,daf-9,Caenorhabditis elegans,Encodes cytochrome P450 related to vertebrate steroidogenic hydroxylases,180889,74,Increase,Anti-Longevity,anti;31.0;;169;17900898|anti;31.0;;169;17900898
